Timestamp,Age,Gender,Education,Monthly Income,Occupation,Marital Status,Device,Internet Quality,Courses Taken Last Year,Ad Views Count,Engagement Time (mins),Session Count (1st week),Click Through Rate,Signed Up,Paid Subscription,Satisfaction Level,App Comfort Level,Free Trial Willingness,Willingness to Spend,Retention 7 days,Motivation,Learning Goals,Preferred Subjects,Preferred App Features,Selection Factors,Learning Challenges,Non-Subscription Reasons,Features Used Most,Other Apps Used
2025-05-04 22:15:21,35-44,Prefer not to say,Master,<500,Homemaker,Widowed,Smart TV,Poor,0,3,101.3,2,0.23,Yes,No,5,1,5,20-50,Yes,"Skill Development,Career Growth,Certification","Improve Skills,Complete Course,Earn Certificate",Programming,"Projects,Peer Forum","Certification,Reviews,Content Quality",Language Barrier,"Lack Time,Not Relevant","Video Lectures,Forums,Interactive Exercises","Khan Academy,Udemy,Skillshare"
2025-06-20 17:42:53,25-34,Non-binary/Other,Associate,500-1000,Working Professional,Other,Laptop/PC,Poor,>10,8,2.3,2,0.17,Yes,No,4,2,2,>100,No,"Certification,Networking,Hobby","Earn Certificate,Explore Topic","Math,Marketing","Quizzes,Live Sessions",Content Quality,"Time Management,Technical Issues,Language Barrier",Technical Issues,"Webinars,Video Lectures,Interactive Exercises",Skillshare
2025-06-20 23:50:55,55+,Prefer not to say,Associate,<500,Other,Single,Other,Good,1-2,3,9.2,3,0.12,Yes,No,2,5,1,20-50,No,"Certification,Hobby,Networking","Complete Course,Improve Skills","Design,Marketing,Science","Projects,Peer Forum,Videos",Instructor,"Time Management,Language Barrier","Too Expensive,Lack Time,Not Relevant","Forums,Video Lectures","Skillshare,Coursera"
2025-06-30 14:20:03,45-54,Female,Associate,<500,Retired,Married,Other,Good,0,4,6.7,2,0.06,No,No,3,1,2,20-50,No,"Skill Development,Certification","Earn Certificate,Improve Skills,Explore Topic",Design,"Peer Forum,Live Sessions,Videos",Price,"Language Barrier,Time Management","Technical Issues,Not Relevant","Downloadable PDFs,Webinars,Interactive Exercises","Udemy,edX,Khan Academy"
2025-06-09 06:27:13,18-24,Female,Master,1000-2000,Student,Married,Smartphone,Excellent,0,9,61.2,4,0.19,Yes,Yes,3,3,2,10-20,Yes,Certification,Complete Course,"Marketing,Math,Design",Videos,"Content Quality,Price,Certification",Time Management,"Lack Time,Not Relevant","Forums,Video Lectures,Interactive Exercises",Khan Academy
2025-05-12 00:58:35,35-44,Female,High School,2000-5000,Entrepreneur,Single,Smart TV,Good,6-10,5,5.9,5,0.15,Yes,No,1,2,3,50-100,No,"Hobby,Networking",Improve Skills,"Math,Science","Live Sessions,Projects",Price,Motivation,"Too Expensive,Technical Issues,Lack Time","Webinars,Downloadable PDFs","Udemy,edX,Coursera"
2025-07-03 07:04:21,55+,Non-binary/Other,Master,500-1000,Retired,Widowed,Smartphone,Poor,>10,5,11.0,2,0.34,No,No,2,4,2,10-20,No,"Career Growth,Hobby,Certification","Earn Certificate,Explore Topic","Science,Marketing,Math","Live Sessions,Projects,Peer Forum","Reviews,Content Quality","Language Barrier,Time Management,Technical Issues","Too Expensive,Lack Time",Webinars,edX
2025-05-05 09:00:19,55+,Female,Associate,500-1000,Homemaker,Other,Tablet,Good,>10,4,23.5,4,0.23,Yes,Yes,4,2,3,50-100,Yes,Hobby,"Explore Topic,Complete Course,Improve Skills","Math,Marketing","Peer Forum,Live Sessions,Videos","Price,Reviews,Content Quality","Language Barrier,Technical Issues",Too Expensive,Forums,"Skillshare,edX,Coursera"
2025-05-22 07:51:18,18-24,Male,PhD,1000-2000,Retired,Divorced,Other,Good,1-2,4,29.1,2,0.4,No,No,2,1,3,20-50,Yes,"Certification,Career Growth","Improve Skills,Explore Topic","Math,Programming","Projects,Live Sessions,Quizzes","Instructor,Price,Reviews","Language Barrier,Motivation","Too Expensive,Lack Time","Interactive Exercises,Forums,Webinars","Coursera,Khan Academy"
2025-07-02 05:52:57,35-44,Prefer not to say,Bachelor,1000-2000,Retired,Single,Smart TV,Average,1-2,1,49.5,2,0.22,Yes,Yes,4,2,3,20-50,Yes,Hobby,"Improve Skills,Complete Course,Earn Certificate",Marketing,"Videos,Live Sessions,Peer Forum",Content Quality,"Time Management,Motivation","Lack Time,Technical Issues,Not Relevant","Video Lectures,Downloadable PDFs","edX,Coursera"
2025-05-14 18:28:10,45-54,Prefer not to say,Master,1000-2000,Homemaker,Other,Smartphone,Excellent,0,2,15.7,1,0.15,Yes,No,1,3,2,10-20,No,"Career Growth,Networking","Explore Topic,Complete Course","Science,Math",Quizzes,Reviews,"Time Management,Motivation","Lack Time,Technical Issues","Downloadable PDFs,Webinars,Video Lectures",edX
2025-06-05 15:50:32,<18,Male,Master,>5000,Retired,Other,Smartphone,Excellent,>10,7,22.9,1,0.19,Yes,Yes,5,2,1,20-50,No,"Networking,Certification,Skill Development","Earn Certificate,Explore Topic,Improve Skills","Programming,Science","Peer Forum,Live Sessions,Quizzes",Content Quality,"Language Barrier,Time Management,Motivation","Too Expensive,Technical Issues,Lack Time","Forums,Video Lectures,Webinars",Coursera
2025-07-01 10:36:50,35-44,Non-binary/Other,High School,>5000,Entrepreneur,Married,Tablet,Excellent,>10,4,101.0,8,0.11,No,No,2,3,3,<10,Yes,"Networking,Career Growth,Skill Development","Explore Topic,Improve Skills,Earn Certificate","Programming,Math,Marketing",Quizzes,Content Quality,"Language Barrier,Motivation",Technical Issues,Interactive Exercises,"Udemy,Coursera"
2025-07-01 03:40:16,18-24,Non-binary/Other,High School,>5000,Other,Divorced,Smartphone,Good,1-2,5,10.6,8,0.15,No,No,3,2,4,20-50,No,"Skill Development,Hobby,Certification","Complete Course,Improve Skills,Explore Topic","Design,Math",Quizzes,Content Quality,"Motivation,Language Barrier",Technical Issues,"Downloadable PDFs,Forums,Video Lectures","Khan Academy,edX"
2025-05-08 01:00:15,55+,Prefer not to say,Master,<500,Working Professional,Single,Laptop/PC,Poor,3-5,6,8.6,1,0.36,No,No,4,1,4,20-50,No,"Networking,Skill Development","Improve Skills,Earn Certificate",Science,Live Sessions,Reviews,"Technical Issues,Time Management,Language Barrier","Not Relevant,Too Expensive,Technical Issues",Interactive Exercises,Khan Academy
2025-05-12 16:57:27,45-54,Female,Associate,500-1000,Retired,Married,Other,Average,0,6,37.2,1,0.16,Yes,Yes,2,4,5,50-100,No,Certification,Improve Skills,"Science,Programming,Math","Videos,Projects",Price,"Technical Issues,Language Barrier,Motivation","Not Relevant,Technical Issues","Downloadable PDFs,Video Lectures","Skillshare,Khan Academy"
2025-05-24 13:33:55,35-44,Non-binary/Other,Bachelor,2000-5000,Entrepreneur,Married,Smartphone,Excellent,>10,6,44.2,5,0.17,Yes,No,4,5,4,20-50,Yes,Hobby,"Explore Topic,Earn Certificate",Design,Videos,Reviews,"Motivation,Time Management,Technical Issues","Lack Time,Too Expensive","Interactive Exercises,Downloadable PDFs,Webinars","Khan Academy,Udemy,Coursera"
2025-05-14 17:07:26,<18,Non-binary/Other,High School,<500,Working Professional,Widowed,Smartphone,Good,6-10,5,16.1,2,0.23,Yes,No,2,2,4,10-20,No,"Career Growth,Skill Development,Networking",Earn Certificate,Programming,Quizzes,"Reviews,Instructor,Price","Time Management,Motivation",Not Relevant,"Forums,Video Lectures,Downloadable PDFs",edX
2025-05-20 22:56:50,<18,Male,Associate,500-1000,Working Professional,Other,Tablet,Poor,6-10,7,7.2,4,0.22,No,No,3,4,3,50-100,No,Certification,Complete Course,"Science,Design,Math","Live Sessions,Quizzes",Instructor,"Language Barrier,Technical Issues","Technical Issues,Not Relevant,Too Expensive",Video Lectures,"Udemy,edX,Coursera"
2025-05-31 23:47:04,25-34,Male,PhD,500-1000,Retired,Single,Laptop/PC,Average,3-5,7,45.3,2,0.34,No,No,4,2,2,20-50,Yes,"Networking,Skill Development","Earn Certificate,Improve Skills","Math,Programming,Science",Quizzes,"Content Quality,Reviews,Instructor","Technical Issues,Language Barrier,Motivation",Not Relevant,Forums,"Coursera,Khan Academy,edX"
2025-05-12 15:42:11,25-34,Female,High School,1000-2000,Entrepreneur,Single,Smartphone,Average,1-2,5,33.3,3,0.24,No,No,4,4,4,<10,Yes,"Hobby,Networking","Earn Certificate,Complete Course,Improve Skills","Programming,Math,Science","Live Sessions,Peer Forum","Price,Content Quality","Time Management,Language Barrier","Technical Issues,Not Relevant,Too Expensive","Forums,Downloadable PDFs,Webinars","edX,Skillshare,Udemy"
2025-06-01 10:59:14,18-24,Non-binary/Other,Associate,1000-2000,Other,Single,Other,Excellent,1-2,3,62.7,4,0.53,Yes,Yes,5,3,2,50-100,Yes,"Certification,Hobby","Complete Course,Earn Certificate","Marketing,Math",Projects,"Instructor,Reviews","Motivation,Time Management,Technical Issues","Too Expensive,Lack Time,Technical Issues","Forums,Webinars,Downloadable PDFs",Coursera
2025-06-28 11:31:08,35-44,Non-binary/Other,Associate,<500,Retired,Married,Other,Excellent,1-2,10,55.8,3,0.17,Yes,No,1,4,1,>100,Yes,"Networking,Career Growth,Hobby",Improve Skills,"Design,Math,Marketing",Peer Forum,"Content Quality,Instructor,Price",Language Barrier,Not Relevant,"Webinars,Forums","Khan Academy,Coursera,Udemy"
2025-06-25 00:42:52,35-44,Male,Bachelor,1000-2000,Homemaker,Widowed,Smartphone,Poor,6-10,3,6.9,2,0.24,Yes,No,2,5,4,20-50,No,"Hobby,Career Growth,Skill Development",Improve Skills,Science,"Videos,Quizzes,Projects",Content Quality,"Technical Issues,Language Barrier,Motivation","Technical Issues,Not Relevant","Webinars,Forums,Downloadable PDFs","Khan Academy,edX,Udemy"
2025-06-03 09:55:23,55+,Non-binary/Other,Bachelor,500-1000,Working Professional,Divorced,Laptop/PC,Good,1-2,8,53.6,5,0.06,Yes,Yes,3,4,1,<10,Yes,Networking,"Earn Certificate,Improve Skills,Explore Topic","Math,Science,Design","Live Sessions,Peer Forum","Content Quality,Certification",Motivation,Too Expensive,Video Lectures,Coursera
2025-05-30 16:44:31,55+,Prefer not to say,PhD,1000-2000,Retired,Married,Other,Poor,6-10,4,5.8,6,0.19,Yes,No,5,5,1,50-100,No,"Certification,Hobby,Skill Development","Earn Certificate,Complete Course","Math,Science,Marketing","Projects,Peer Forum",Instructor,Technical Issues,"Too Expensive,Not Relevant","Forums,Interactive Exercises,Video Lectures","edX,Skillshare"
2025-06-26 01:05:32,55+,Male,Associate,>5000,Working Professional,Divorced,Other,Excellent,3-5,3,59.8,3,0.36,Yes,No,5,5,5,<10,Yes,"Networking,Skill Development,Certification","Earn Certificate,Complete Course,Explore Topic",Programming,Peer Forum,"Content Quality,Price","Time Management,Motivation","Too Expensive,Technical Issues,Not Relevant","Interactive Exercises,Forums","edX,Skillshare"
2025-05-14 01:07:23,25-34,Female,Associate,1000-2000,Entrepreneur,Widowed,Laptop/PC,Poor,0,7,44.1,3,0.32,Yes,Yes,1,4,2,20-50,Yes,Networking,Earn Certificate,"Math,Science","Videos,Peer Forum,Projects","Price,Reviews,Certification",Motivation,"Too Expensive,Lack Time,Not Relevant","Video Lectures,Downloadable PDFs,Forums",Coursera
2025-05-31 06:32:16,35-44,Male,Bachelor,500-1000,Student,Other,Laptop/PC,Good,>10,5,25.3,4,0.19,Yes,Yes,3,5,2,10-20,Yes,"Skill Development,Hobby,Networking","Explore Topic,Improve Skills","Science,Marketing","Peer Forum,Live Sessions,Projects","Instructor,Content Quality,Price","Language Barrier,Technical Issues,Time Management","Technical Issues,Too Expensive,Not Relevant",Forums,"Skillshare,edX,Khan Academy"
2025-06-14 10:22:40,35-44,Non-binary/Other,High School,<500,Retired,Single,Smartphone,Average,3-5,7,30.8,3,0.5,No,No,2,5,5,>100,Yes,"Certification,Skill Development,Hobby","Improve Skills,Complete Course","Math,Design","Videos,Quizzes",Reviews,"Motivation,Language Barrier","Too Expensive,Technical Issues","Interactive Exercises,Webinars,Forums","Khan Academy,edX,Udemy"
2025-06-10 15:17:55,<18,Female,High School,2000-5000,Other,Divorced,Smart TV,Average,6-10,10,3.3,5,0.26,Yes,No,4,3,3,50-100,No,"Career Growth,Hobby,Certification",Improve Skills,"Programming,Science,Design",Live Sessions,"Price,Content Quality",Language Barrier,Not Relevant,"Video Lectures,Forums,Interactive Exercises","Udemy,Khan Academy,Skillshare"
2025-05-07 09:23:29,25-34,Male,Master,1000-2000,Retired,Married,Tablet,Average,3-5,2,1.2,5,0.39,Yes,Yes,1,1,5,20-50,No,"Hobby,Skill Development","Improve Skills,Complete Course,Earn Certificate",Marketing,"Videos,Live Sessions,Projects","Price,Certification,Content Quality",Motivation,"Lack Time,Technical Issues,Not Relevant",Interactive Exercises,"Khan Academy,Udemy,edX"
2025-06-11 11:24:24,45-54,Prefer not to say,Bachelor,500-1000,Working Professional,Divorced,Smart TV,Average,>10,6,12.0,1,0.38,No,No,4,3,5,<10,No,"Networking,Career Growth,Hobby","Explore Topic,Complete Course","Design,Science",Quizzes,"Certification,Reviews,Instructor","Technical Issues,Motivation,Language Barrier",Lack Time,Video Lectures,"Skillshare,edX"
2025-07-02 19:18:21,25-34,Prefer not to say,Master,2000-5000,Entrepreneur,Other,Smart TV,Excellent,0,3,51.7,3,0.3,No,No,5,1,5,20-50,Yes,"Certification,Hobby,Career Growth",Improve Skills,Programming,"Videos,Projects,Live Sessions","Instructor,Content Quality,Price","Time Management,Motivation,Technical Issues","Lack Time,Too Expensive,Not Relevant",Forums,"edX,Udemy"
2025-07-03 14:37:15,45-54,Male,Bachelor,2000-5000,Homemaker,Single,Other,Excellent,>10,6,18.8,4,0.28,Yes,Yes,4,1,1,20-50,No,"Hobby,Skill Development",Explore Topic,Science,"Quizzes,Videos,Projects",Content Quality,Motivation,Too Expensive,"Forums,Video Lectures","Udemy,Coursera,Skillshare"
2025-06-01 19:43:28,<18,Prefer not to say,PhD,>5000,Other,Divorced,Laptop/PC,Good,6-10,5,7.6,4,0.16,No,No,2,3,2,<10,No,Hobby,"Earn Certificate,Explore Topic","Programming,Design",Videos,Certification,"Motivation,Time Management,Language Barrier","Technical Issues,Lack Time,Too Expensive",Forums,Udemy
2025-06-05 16:53:41,18-24,Prefer not to say,Associate,2000-5000,Entrepreneur,Other,Other,Good,>10,3,54.0,3,0.25,Yes,Yes,2,5,3,20-50,Yes,"Skill Development,Networking","Improve Skills,Explore Topic","Math,Design",Projects,"Content Quality,Price","Time Management,Language Barrier,Motivation","Not Relevant,Technical Issues,Too Expensive","Interactive Exercises,Video Lectures","edX,Skillshare,Khan Academy"
2025-05-22 13:49:10,35-44,Prefer not to say,PhD,500-1000,Retired,Married,Tablet,Good,3-5,6,7.8,3,0.42,Yes,No,4,3,4,<10,No,Skill Development,"Earn Certificate,Complete Course,Improve Skills","Marketing,Programming",Quizzes,"Certification,Reviews",Language Barrier,"Technical Issues,Too Expensive,Not Relevant","Video Lectures,Forums,Webinars","Coursera,edX"
2025-05-28 13:24:07,<18,Female,Bachelor,500-1000,Homemaker,Widowed,Smartphone,Good,1-2,4,50.7,4,0.04,Yes,No,4,5,4,10-20,Yes,Hobby,Complete Course,"Marketing,Design","Live Sessions,Quizzes,Peer Forum","Reviews,Instructor,Price","Language Barrier,Motivation,Technical Issues","Too Expensive,Technical Issues,Not Relevant","Video Lectures,Downloadable PDFs","Coursera,Skillshare,Udemy"
2025-07-01 19:17:26,35-44,Prefer not to say,Associate,1000-2000,Entrepreneur,Married,Tablet,Poor,3-5,6,18.1,3,0.08,Yes,No,1,3,4,10-20,No,Networking,Improve Skills,"Science,Math,Programming","Quizzes,Projects",Price,Technical Issues,Not Relevant,"Downloadable PDFs,Interactive Exercises,Forums","Coursera,Udemy"
2025-05-23 13:31:24,55+,Prefer not to say,High School,1000-2000,Student,Single,Other,Good,6-10,3,18.7,0,0.31,No,No,2,3,3,50-100,No,"Networking,Career Growth,Hobby","Improve Skills,Earn Certificate,Complete Course","Science,Marketing","Videos,Peer Forum,Projects","Content Quality,Reviews",Motivation,"Not Relevant,Too Expensive,Technical Issues",Forums,"Udemy,edX,Khan Academy"
2025-05-17 19:34:54,18-24,Prefer not to say,High School,1000-2000,Other,Married,Other,Average,0,3,9.6,2,0.2,No,No,4,2,4,10-20,No,"Networking,Skill Development","Improve Skills,Complete Course","Design,Programming,Marketing","Videos,Projects","Price,Content Quality,Certification","Motivation,Time Management,Technical Issues",Not Relevant,Interactive Exercises,Skillshare
2025-07-03 08:35:08,18-24,Female,Master,2000-5000,Working Professional,Married,Other,Average,>10,5,69.1,3,0.25,Yes,No,3,4,3,20-50,Yes,"Certification,Skill Development,Career Growth",Complete Course,"Programming,Science,Design","Projects,Peer Forum,Videos","Instructor,Price","Motivation,Language Barrier","Technical Issues,Too Expensive",Video Lectures,"Skillshare,Udemy"
2025-06-23 15:03:40,<18,Male,Bachelor,2000-5000,Entrepreneur,Married,Other,Average,0,7,2.8,5,0.31,Yes,No,1,3,4,10-20,No,Networking,"Complete Course,Explore Topic","Marketing,Programming,Math",Projects,"Content Quality,Instructor,Certification","Language Barrier,Time Management",Too Expensive,"Interactive Exercises,Downloadable PDFs",Skillshare
2025-06-06 04:59:24,18-24,Non-binary/Other,Bachelor,>5000,Entrepreneur,Married,Smart TV,Poor,6-10,4,4.7,5,0.51,Yes,No,1,4,4,20-50,No,Certification,Explore Topic,"Science,Programming,Math",Peer Forum,"Price,Content Quality",Language Barrier,"Technical Issues,Too Expensive,Lack Time","Forums,Interactive Exercises",Udemy
2025-06-05 02:58:30,45-54,Prefer not to say,High School,1000-2000,Student,Single,Smartphone,Good,>10,9,30.3,6,0.37,Yes,No,1,5,3,10-20,Yes,Certification,"Complete Course,Explore Topic","Programming,Math","Projects,Quizzes",Certification,"Language Barrier,Time Management",Lack Time,"Downloadable PDFs,Forums,Interactive Exercises","Skillshare,edX,Coursera"
2025-06-12 23:07:41,18-24,Male,PhD,<500,Retired,Other,Smart TV,Average,3-5,3,56.9,3,0.59,Yes,No,1,2,2,10-20,Yes,"Skill Development,Certification",Complete Course,Marketing,"Peer Forum,Videos,Quizzes","Content Quality,Certification",Technical Issues,"Too Expensive,Not Relevant,Technical Issues","Forums,Downloadable PDFs",Khan Academy
2025-06-15 10:15:53,35-44,Prefer not to say,Associate,>5000,Other,Divorced,Other,Average,3-5,8,3.0,1,0.27,Yes,No,4,2,3,20-50,No,"Hobby,Certification,Career Growth","Complete Course,Improve Skills,Explore Topic","Science,Design,Math","Peer Forum,Projects",Certification,"Language Barrier,Time Management,Technical Issues","Technical Issues,Not Relevant",Webinars,"Khan Academy,edX,Skillshare"
2025-06-22 08:16:40,35-44,Female,PhD,<500,Other,Widowed,Laptop/PC,Average,6-10,4,39.7,3,0.36,Yes,No,5,1,3,<10,Yes,"Skill Development,Hobby,Networking","Complete Course,Explore Topic","Marketing,Programming","Live Sessions,Projects","Certification,Reviews","Motivation,Time Management",Lack Time,"Downloadable PDFs,Video Lectures,Forums","edX,Udemy,Khan Academy"
2025-06-28 17:38:27,35-44,Male,PhD,2000-5000,Working Professional,Divorced,Smart TV,Average,>10,5,40.7,5,0.16,No,No,3,4,5,<10,Yes,Hobby,"Complete Course,Explore Topic","Marketing,Design","Live Sessions,Peer Forum,Quizzes",Instructor,"Motivation,Technical Issues,Language Barrier","Too Expensive,Not Relevant","Video Lectures,Webinars","edX,Coursera"
2025-06-08 06:21:54,35-44,Female,High School,>5000,Entrepreneur,Divorced,Other,Excellent,3-5,8,26.1,3,0.46,Yes,No,5,2,1,50-100,Yes,"Networking,Certification,Skill Development",Improve Skills,"Marketing,Math,Science","Videos,Quizzes","Certification,Reviews,Content Quality","Technical Issues,Time Management,Motivation","Too Expensive,Lack Time",Interactive Exercises,Udemy
2025-05-10 08:16:16,45-54,Prefer not to say,High School,>5000,Homemaker,Widowed,Other,Good,6-10,5,20.0,2,0.24,No,No,5,5,1,10-20,No,"Certification,Networking","Improve Skills,Complete Course,Explore Topic","Math,Programming,Marketing","Videos,Quizzes",Content Quality,"Time Management,Motivation,Language Barrier","Not Relevant,Lack Time,Too Expensive","Interactive Exercises,Video Lectures","edX,Khan Academy"
2025-06-16 02:43:23,25-34,Prefer not to say,High School,500-1000,Entrepreneur,Single,Smartphone,Good,6-10,5,11.6,2,0.11,Yes,No,4,1,2,10-20,No,Skill Development,Complete Course,Design,"Peer Forum,Projects,Live Sessions","Price,Certification,Instructor",Technical Issues,"Too Expensive,Technical Issues,Lack Time",Interactive Exercises,"Khan Academy,Coursera"
2025-06-15 02:51:23,55+,Female,Master,2000-5000,Working Professional,Widowed,Tablet,Poor,0,4,13.0,5,0.45,No,No,1,2,2,20-50,No,"Skill Development,Hobby,Career Growth",Earn Certificate,"Programming,Marketing","Videos,Quizzes,Projects","Content Quality,Price","Language Barrier,Motivation",Lack Time,"Webinars,Interactive Exercises","Khan Academy,Udemy,edX"
2025-05-17 04:24:02,<18,Non-binary/Other,PhD,2000-5000,Entrepreneur,Single,Smart TV,Excellent,3-5,5,33.7,8,0.49,Yes,No,1,5,2,10-20,Yes,"Certification,Hobby,Networking","Earn Certificate,Improve Skills,Complete Course","Math,Science,Design",Projects,Instructor,"Time Management,Technical Issues","Technical Issues,Too Expensive,Not Relevant","Forums,Downloadable PDFs,Webinars","Coursera,Khan Academy,edX"
2025-06-04 08:04:02,35-44,Female,Bachelor,>5000,Student,Divorced,Smart TV,Poor,>10,6,2.0,4,0.16,Yes,Yes,4,4,1,20-50,No,Networking,"Improve Skills,Earn Certificate,Complete Course","Science,Design",Peer Forum,"Content Quality,Reviews,Instructor","Time Management,Technical Issues,Language Barrier","Lack Time,Technical Issues","Interactive Exercises,Downloadable PDFs",edX
2025-05-16 22:38:51,18-24,Prefer not to say,Associate,2000-5000,Entrepreneur,Single,Smart TV,Average,3-5,5,26.4,2,0.57,Yes,Yes,4,5,2,<10,Yes,Hobby,Complete Course,"Science,Math,Marketing",Peer Forum,Reviews,Language Barrier,Not Relevant,Interactive Exercises,edX
2025-06-20 10:07:33,35-44,Female,Master,>5000,Entrepreneur,Other,Other,Poor,3-5,6,9.8,3,0.24,No,No,2,5,2,20-50,No,Skill Development,"Improve Skills,Earn Certificate,Complete Course","Design,Marketing,Programming",Quizzes,Content Quality,"Motivation,Technical Issues",Too Expensive,"Forums,Video Lectures",Khan Academy
2025-05-16 01:09:23,18-24,Non-binary/Other,Bachelor,500-1000,Homemaker,Widowed,Smartphone,Average,3-5,7,18.9,1,0.25,No,No,1,5,3,<10,No,"Certification,Skill Development","Improve Skills,Earn Certificate","Design,Science","Videos,Projects",Price,"Language Barrier,Technical Issues","Lack Time,Too Expensive,Technical Issues",Webinars,edX
2025-05-16 23:30:37,55+,Female,PhD,>5000,Student,Other,Other,Average,6-10,4,24.6,7,0.3,Yes,Yes,3,3,3,20-50,Yes,"Career Growth,Skill Development",Complete Course,"Programming,Marketing","Videos,Projects",Reviews,Language Barrier,"Too Expensive,Lack Time,Technical Issues","Interactive Exercises,Video Lectures,Forums",Coursera
2025-06-23 17:08:50,55+,Non-binary/Other,High School,2000-5000,Student,Divorced,Other,Good,1-2,6,65.1,0,0.21,Yes,Yes,2,2,1,20-50,No,"Hobby,Career Growth",Explore Topic,"Design,Programming",Live Sessions,"Content Quality,Reviews,Instructor",Language Barrier,"Not Relevant,Technical Issues,Too Expensive","Video Lectures,Forums,Downloadable PDFs","Coursera,Udemy,edX"
