Age,Gender,Education,Monthly Income,Occupation,Country,City,Marital Status,Has Children,Children Use Learning Apps,Device,Internet Quality,Hours Online,Time of Day,Learning Mode,App Comfort Level,Ad Channel,Ad Click Frequency,Ad Format,Ad Message Clarity,Ad Design Appeal,Motivation,Learning Goals,Preferred Subjects,Preferred App Features,Selection Factors,Learning Challenges,Free Trial Willingness,Courses Taken Last Year,Signed Up,Sign-up Reason,Paid Subscription,Payment Preference,Willingness to Spend,Non-Subscription Reasons,Satisfaction Level,Would Recommend,Features Used Most,Other Apps Used,Desired Improvement
25-34,Male,Undergraduate,2000-5000,Working Professional,Cote d'Ivoire,Port Lauren,Married,Yes,Not applicable,Laptop/PC,Good,4-6,Early morning,Blended,1,Facebook,Sometimes,Video,Yes,Neutral,"Parental suggestion, Career growth, Peer recommendation, Academic help","Get a new job, Other, Improve current job skills, Personal enrichment, Switch careers, Earn certifications","Other, Arts, Technology, Science, Humanities","Live classes, Certificates, Personalized content, Other","Content quality, Customer support, Peer reviews, Other, App design","Lack of motivation, Distractions, Other, Boring content",5,>10,Yes,Trust in brand,No,Free only,20-50,"Privacy concerns, Lack of reviews, Other, Price",5,Yes,"Progress tracking, Quizzes, Discussion boards, Downloadable resources","Byju’s, None, Other, Khan Academy, Skillshare",More affordable
25-34,Non-binary/Other,Doctorate,500-1000,Homemaker,Jordan,Lake Kristie,Single,Yes,Yes,Smartphone,Excellent,<1,Early morning,One-on-one,3,Facebook,Rarely,Influencer post,Yes,Neutral,"Skill development, Exam preparation, Peer recommendation, Parental suggestion, Other","Other, Get a new job, Earn certifications, Personal enrichment","Languages, Business, Other, Technology, Exam prep","Quizzes, Offline access, Peer interaction, Other","Price, Customer support, Peer reviews, Content quality, Tutor quality","Poor internet, Cost, Other, Boring content",1,6-10,Yes,Trust in brand,No,Pay per course,10-20,"Complicated signup, Not enough content, Other, Lack of reviews",4,No,"Community forums, Leaderboards, Live sessions, Other","Coursera, Udemy, Unacademy, Other",More live sessions
35-44,Female,Postgraduate,<500,Student,Samoa,Jasminechester,Married,Yes,Not applicable,Smartphone,Good,4-6,Afternoon,Blended,4,Instagram,Sometimes,Video,Yes,Very unappealing,"Other, Hobby learning, Academic help, Certification, Peer recommendation","Start a business, Networking, Improve current job skills, Get a new job","Technology, Business, Arts, Science, Other, Exam prep","Live classes, Gamification, Offline access, Other, Peer interaction","Content quality, Certification, Other, Customer support, Peer reviews","Lack of support, Other, Boring content, Time management",5,1-2,Yes,Value for money,Yes,Free only,50-100,,4,No,"Discussion boards, Downloadable resources, Other, Community forums, Leaderboards, Quizzes","None, Coursera, Other, Skillshare",More affordable
25-34,Male,Undergraduate,500-1000,Student,Germany,Austinside,Single,Yes,Not applicable,Smart TV,Good,2-4,Night,Blended,2,YouTube,Sometimes,Influencer post,No,Appealing,"Other, Academic help, Hobby learning, Certification, Parental suggestion, Skill development","Get a new job, Earn certifications, Personal enrichment, Improve current job skills","Other, Arts, Science, Humanities, Exam prep","Personalized content, Gamification, Recorded videos, Quizzes, Other","App design, Content quality, Other, Certification","Other, Distractions, Time management, Technical issues, Poor internet",5,3-5,No,Trust in brand,No,Monthly subscription,<10,"No payment method, Lack of reviews, Privacy concerns, Other, Not enough content, Complicated signup",2,No,"Notes/highlighting, Community forums, Live sessions, Other","Khan Academy, Other, Skillshare, edX, Unacademy",Better support
35-44,Male,Undergraduate,<500,Working Professional,French Southern Territories,Daniellebury,Married,No,Not applicable,Smartphone,Good,>6,Evening,Group sessions,5,YouTube,Sometimes,Pop-up,Yes,Unappealing,"Exam preparation, Certification, Parental suggestion, Other","Networking, Improve current job skills, Other, Earn certifications","Languages, Arts, Other, Exam prep, Technology, Humanities","Offline access, Personalized content, Recorded videos, Quizzes, Other, Live classes","Content quality, Other, Tutor quality, Certification, Customer support, Peer reviews","Boring content, Time management, Distractions, Cost, Other",4,3-5,No,Interesting content,No,One-time purchase,10-20,"Other, Privacy concerns, Prefer free content, No payment method, Complicated signup",5,Yes,"Discussion boards, Downloadable resources, Live sessions, Notes/highlighting","Coursera, Skillshare, Udemy, Byju’s",Other
35-44,Female,High School,<500,Working Professional,French Southern Territories,East Joanna,Married,No,Not applicable,Other,Good,4-6,Afternoon,One-on-one,2,WhatsApp,Often,Image,Yes,Appealing,"Parental suggestion, Peer recommendation, Career growth, Other, Exam preparation, Skill development","Pass exams, Personal enrichment, Start a business, Improve current job skills","Business, Other, Arts, Humanities, Technology, Languages","Recorded videos, Offline access, Certificates, Live classes, Personalized content","Other, Tutor quality, Customer support, Flexibility, Price, Content quality","Other, Distractions, Time management, Boring content",5,3-5,Yes,Value for money,No,Pay per course,<10,"Lack of reviews, Not enough content, Price, Other, No payment method",5,Yes,"Downloadable resources, Quizzes, Leaderboards, Discussion boards, Progress tracking, Live sessions","Udemy, edX, Khan Academy, Coursera, Byju’s, Skillshare",More live sessions
35-44,Male,Undergraduate,1000-2000,Working Professional,Kazakhstan,North Kimberlyfurt,Single,Yes,Yes,Smartphone,Excellent,4-6,Evening,Group sessions,4,YouTube,Never,Image,Yes,Appealing,"Other, Peer recommendation, Skill development, Parental suggestion, Academic help, Exam preparation","Earn certifications, Switch careers, Start a business, Personal enrichment, Networking, Get a new job","Other, Science, Business, Humanities, Arts","Peer interaction, Gamification, Offline access, Certificates, Other","Customer support, Content quality, App design, Tutor quality","Lack of motivation, Poor internet, Other, Lack of support",2,1-2,Yes,Interesting content,No,Pay per course,50-100,"Price, Not enough content, No payment method, Complicated signup, Privacy concerns, Lack of reviews",4,No,"Community forums, Quizzes, Leaderboards, Discussion boards","Other, Skillshare, None, Unacademy",More live sessions
55+,Female,Undergraduate,500-1000,Student,Fiji,North Melissa,Single,No,Not applicable,Laptop/PC,Good,4-6,Evening,Self-paced,3,YouTube,Rarely,Pop-up,Somewhat,Neutral,"Parental suggestion, Peer recommendation, Other, Exam preparation, Career growth","Other, Get a new job, Pass exams, Start a business","Business, Exam prep, Languages, Science","Recorded videos, Certificates, Live classes, Other, Gamification, Offline access","Other, Certification, Content quality, Tutor quality, Price, App design, Flexibility, Peer reviews, Customer support","Cost, Other, Lack of support, Time management, Lack of motivation",5,1-2,No,Value for money,No,Annual subscription,20-50,"Prefer free content, No payment method, Privacy concerns, Other, Complicated signup",3,Yes,"Quizzes, Other, Downloadable resources, Community forums","Udemy, Coursera, Khan Academy, Skillshare",More live sessions
<18,Female,Undergraduate,500-1000,Student,Netherlands Antilles,East Traceyburgh,Married,No,Not applicable,Smartphone,Poor,>6,Evening,Self-paced,4,Google Search,Sometimes,Influencer post,Yes,Very appealing,"Parental suggestion, Peer recommendation, Career growth, Certification","Get a new job, Start a business, Switch careers, Pass exams","Arts, Languages, Other, Exam prep, Humanities, Technology","Other, Offline access, Quizzes, Certificates, Peer interaction, Recorded videos","Certification, Peer reviews, Customer support, Price, Other","Other, Boring content, Time management, Poor internet, Lack of motivation",5,3-5,Yes,Parental advice,Yes,Free only,<10,,2,No,"Leaderboards, Downloadable resources, Progress tracking, Other, Notes/highlighting, Quizzes","Khan Academy, Udemy, None, Skillshare",Improved interaction
18-24,Non-binary/Other,Undergraduate,500-1000,Student,Chile,New Austinhaven,Married,Yes,Not applicable,Laptop/PC,Poor,4-6,Evening,Self-paced,4,YouTube,Always,Text,No,Unappealing,"Career growth, Parental suggestion, Other, Academic help","Switch careers, Personal enrichment, Pass exams, Networking","Exam prep, Humanities, Technology, Business, Languages","Quizzes, Personalized content, Offline access, Certificates","Other, Content quality, Tutor quality, Peer reviews, Price","Technical issues, Time management, Lack of motivation, Distractions, Boring content",5,1-2,No,Unclear benefits,No,Annual subscription,10-20,"Privacy concerns, Complicated signup, Price, Prefer free content, No payment method",5,Yes,"Notes/highlighting, Progress tracking, Leaderboards, Downloadable resources, Discussion boards","Khan Academy, edX, Byju’s, Udemy, Skillshare",More live sessions
35-44,Non-binary/Other,Postgraduate,<500,Student,Lao People's Democratic Republic,Lake Gloria,Married,Yes,Not applicable,Smartphone,Average,>6,Evening,Self-paced,3,WhatsApp,Never,Video,Yes,Appealing,"Career growth, Exam preparation, Parental suggestion, Other, Skill development, Academic help","Pass exams, Personal enrichment, Networking, Switch careers, Get a new job","Arts, Science, Other, Exam prep","Other, Gamification, Live classes, Peer interaction, Recorded videos","Certification, Customer support, Other, Peer reviews","Time management, Poor internet, Boring content, Technical issues",5,0,No,Peer pressure,No,Monthly subscription,10-20,"Other, Complicated signup, Price, Not enough content, Lack of reviews",3,Yes,"Quizzes, Community forums, Other, Discussion boards, Downloadable resources, Notes/highlighting, Leaderboards, Live sessions","Coursera, Khan Academy, Byju’s, Udemy, None, Other",More courses
55+,Male,Other,500-1000,Retired,Korea,Brianborough,Married,Yes,No,Tablet,Average,4-6,Afternoon,Group sessions,4,Google Search,Rarely,Video,No,Neutral,"Hobby learning, Career growth, Parental suggestion, Academic help, Other, Peer recommendation","Pass exams, Improve current job skills, Personal enrichment, Start a business","Other, Technology, Business, Science, Arts, Languages","Gamification, Personalized content, Peer interaction, Recorded videos, Live classes, Offline access","Other, Peer reviews, Certification, Price","Other, Time management, Boring content, Poor internet, Cost, Lack of motivation",3,3-5,Yes,Interesting content,Yes,Annual subscription,20-50,,5,Yes,"Live sessions, Discussion boards, Quizzes, Community forums, Downloadable resources","Skillshare, Khan Academy, Byju’s, edX",More affordable
<18,Female,Doctorate,500-1000,Other,Ireland,New Ashleychester,Divorced,No,Not applicable,Tablet,Average,2-4,Night,Self-paced,4,Google Search,Sometimes,Influencer post,Yes,Appealing,"Skill development, Exam preparation, Career growth, Academic help, Parental suggestion, Other, Certification, Hobby learning, Peer recommendation","Get a new job, Networking, Improve current job skills, Switch careers, Start a business","Languages, Business, Other, Arts, Science, Humanities","Peer interaction, Certificates, Other, Recorded videos","Other, Customer support, Tutor quality, Flexibility, Certification, Content quality","Time management, Lack of support, Technical issues, Lack of motivation",4,6-10,Yes,Trust in brand,No,Monthly subscription,10-20,"Prefer free content, Lack of reviews, Price, Privacy concerns, Not enough content, Complicated signup",5,Yes,"Progress tracking, Community forums, Live sessions, Other","Skillshare, Unacademy, None, Byju’s, Khan Academy, Coursera",Better UI
25-34,Female,Postgraduate,<500,Working Professional,Mexico,South Dale,Single,No,Not applicable,Other,Good,2-4,Afternoon,Self-paced,5,Facebook,Never,Text,Somewhat,Appealing,"Peer recommendation, Exam preparation, Other, Parental suggestion","Pass exams, Personal enrichment, Networking, Start a business, Other","Science, Other, Exam prep, Business, Technology, Arts","Certificates, Recorded videos, Quizzes, Peer interaction, Other","Tutor quality, Flexibility, Peer reviews, Content quality","Poor internet, Lack of support, Time management, Cost, Other",5,6-10,No,Interesting content,No,Free only,10-20,"Prefer free content, Privacy concerns, Not enough content, Lack of reviews, Other, No payment method",3,No,"Quizzes, Progress tracking, Community forums, Other, Notes/highlighting, Discussion boards","Byju’s, Coursera, Other, None, Khan Academy",More live sessions
18-24,Male,Undergraduate,500-1000,Student,Saint Pierre and Miquelon,Port Jacqueline,Married,Yes,No,Tablet,Good,4-6,Afternoon,Self-paced,4,Google Search,Rarely,Video,Yes,Neutral,"Career growth, Skill development, Other, Peer recommendation","Earn certifications, Improve current job skills, Get a new job, Networking, Pass exams, Switch careers","Arts, Languages, Business, Other, Exam prep, Technology","Live classes, Personalized content, Gamification, Offline access, Other, Peer interaction","Other, Flexibility, Content quality, Tutor quality","Other, Poor internet, Boring content, Cost, Time management",4,3-5,No,Lack of interest,No,Pay per course,<10,"Other, Not enough content, Lack of reviews, No payment method",4,Yes,"Live sessions, Notes/highlighting, Quizzes, Downloadable resources, Other","Khan Academy, edX, Skillshare, Unacademy",More languages
55+,Male,Postgraduate,1000-2000,Working Professional,Paraguay,Joneshaven,Widowed,Yes,Not applicable,Tablet,Good,<1,Evening,Group sessions,5,YouTube,Sometimes,Text,No,Very appealing,"Exam preparation, Other, Hobby learning, Parental suggestion, Academic help, Peer recommendation","Other, Get a new job, Switch careers, Earn certifications","Other, Languages, Exam prep, Business","Personalized content, Other, Recorded videos, Offline access, Certificates","Tutor quality, Other, Certification, Content quality, Peer reviews, Price","Cost, Lack of motivation, Time management, Distractions, Boring content, Technical issues",5,1-2,No,Interesting content,No,Annual subscription,10-20,"Prefer free content, Price, Privacy concerns, Lack of reviews",5,Yes,"Live sessions, Progress tracking, Discussion boards, Leaderboards, Other","Other, Unacademy, Coursera, Byju’s",More affordable
25-34,Male,High School,1000-2000,Working Professional,Palestinian Territory,South Jessicaview,Widowed,No,Not applicable,Smartphone,Average,4-6,Evening,Live classes,5,Other,Sometimes,Influencer post,Yes,Neutral,"Peer recommendation, Parental suggestion, Certification, Skill development, Academic help","Get a new job, Improve current job skills, Other, Earn certifications, Personal enrichment","Humanities, Business, Technology, Exam prep","Quizzes, Personalized content, Recorded videos, Gamification, Offline access","Peer reviews, Price, Customer support, Content quality, Tutor quality","Cost, Technical issues, Other, Poor internet, Lack of motivation",4,3-5,Yes,Interesting content,Yes,Monthly subscription,20-50,,3,No,"Quizzes, Community forums, Other, Notes/highlighting, Leaderboards","None, Coursera, Other, Unacademy, edX",Better UI
25-34,Male,High School,500-1000,Working Professional,Romania,Hancockberg,Single,Yes,Yes,Tablet,Excellent,1-2,Evening,One-on-one,2,Instagram,Never,Image,Somewhat,Appealing,"Parental suggestion, Peer recommendation, Hobby learning, Other","Earn certifications, Get a new job, Improve current job skills, Networking, Other","Business, Other, Exam prep, Technology, Science","Personalized content, Gamification, Other, Certificates, Recorded videos, Peer interaction","Certification, Other, Content quality, App design, Peer reviews","Boring content, Time management, Distractions, Technical issues, Lack of support",4,0,Yes,Parental advice,No,Monthly subscription,20-50,"Lack of reviews, Complicated signup, Privacy concerns, Price, Prefer free content",4,Yes,"Downloadable resources, Leaderboards, Progress tracking, Quizzes","Skillshare, Byju’s, Udemy, Unacademy, Other, edX",Better support
18-24,Male,Postgraduate,1000-2000,Student,Kuwait,Ryanshire,Single,Yes,Not applicable,Laptop/PC,Good,4-6,Afternoon,Self-paced,1,Instagram,Sometimes,Influencer post,Somewhat,Very appealing,"Skill development, Academic help, Other, Career growth","Pass exams, Switch careers, Improve current job skills, Start a business, Earn certifications","Arts, Business, Technology, Languages, Science","Offline access, Recorded videos, Peer interaction, Certificates","Flexibility, Content quality, App design, Tutor quality, Peer reviews, Other","Cost, Other, Time management, Technical issues, Lack of support, Lack of motivation",4,1-2,No,Unclear benefits,No,Free only,10-20,"Privacy concerns, Price, Complicated signup, Other",3,Yes,"Community forums, Other, Discussion boards, Live sessions","Coursera, edX, None, Khan Academy, Byju’s, Skillshare",Better support
18-24,Male,Doctorate,<500,Retired,Saint Lucia,Ortegabury,Single,No,Not applicable,Smartphone,Average,4-6,Evening,Live classes,4,Google Search,Never,Text,Yes,Neutral,"Peer recommendation, Skill development, Hobby learning, Parental suggestion","Switch careers, Get a new job, Other, Improve current job skills, Networking","Exam prep, Technology, Languages, Humanities","Offline access, Recorded videos, Peer interaction, Other, Quizzes, Personalized content","App design, Certification, Peer reviews, Tutor quality, Other, Content quality","Time management, Lack of motivation, Distractions, Technical issues, Cost, Boring content",1,1-2,Yes,Trust in brand,No,Pay per course,10-20,"Prefer free content, Privacy concerns, Other, Complicated signup, Lack of reviews, Price",4,Yes,"Notes/highlighting, Community forums, Other, Downloadable resources","Udemy, Coursera, edX, None, Byju’s",More live sessions
25-34,Female,Undergraduate,500-1000,Student,Malaysia,Lake Katherineview,Single,No,Not applicable,Smartphone,Average,4-6,Early morning,One-on-one,1,Facebook,Sometimes,Text,Yes,Appealing,"Parental suggestion, Academic help, Other, Skill development","Switch careers, Personal enrichment, Pass exams, Improve current job skills, Get a new job","Languages, Humanities, Exam prep, Business, Other, Science","Peer interaction, Live classes, Other, Quizzes, Recorded videos, Offline access","App design, Content quality, Other, Peer reviews, Price","Distractions, Boring content, Lack of support, Other, Poor internet, Time management",2,1-2,No,Value for money,No,Pay per course,20-50,"Complicated signup, Lack of reviews, No payment method, Privacy concerns, Prefer free content, Other",5,Yes,"Notes/highlighting, Progress tracking, Community forums, Downloadable resources, Live sessions","Skillshare, None, Coursera, Other",Better UI
35-44,Female,Undergraduate,500-1000,Working Professional,Central African Republic,Keithmouth,Married,No,Not applicable,Laptop/PC,Good,4-6,Early morning,Blended,5,LinkedIn,Sometimes,Text,Yes,Unappealing,"Exam preparation, Other, Peer recommendation, Career growth, Skill development, Academic help","Personal enrichment, Earn certifications, Start a business, Pass exams, Other","Languages, Science, Humanities, Exam prep, Arts, Other","Peer interaction, Live classes, Personalized content, Certificates, Gamification, Recorded videos","Content quality, Certification, Peer reviews, Tutor quality, Other, Price","Cost, Lack of motivation, Technical issues, Distractions, Boring content, Poor internet",4,1-2,Yes,Interesting content,No,Pay per course,50-100,"Complicated signup, Prefer free content, Lack of reviews, Not enough content, No payment method, Other",5,Yes,"Downloadable resources, Leaderboards, Discussion boards, Notes/highlighting, Progress tracking, Quizzes","Khan Academy, Skillshare, Udemy, edX",Improved interaction
18-24,Male,Undergraduate,500-1000,Student,French Polynesia,Perezshire,Divorced,Yes,No,Smart TV,Good,1-2,Early morning,Live classes,1,Instagram,Sometimes,Video,Yes,Neutral,"Skill development, Certification, Exam preparation, Peer recommendation, Academic help, Parental suggestion","Get a new job, Networking, Other, Improve current job skills, Earn certifications","Science, Business, Technology, Arts","Personalized content, Certificates, Recorded videos, Gamification, Live classes, Quizzes","Price, Peer reviews, Certification, App design, Content quality","Other, Distractions, Cost, Lack of motivation, Technical issues, Lack of support",5,0,Yes,Interesting content,No,Annual subscription,10-20,"Prefer free content, Not enough content, Lack of reviews, No payment method, Price",4,Yes,"Downloadable resources, Notes/highlighting, Quizzes, Discussion boards, Progress tracking","Unacademy, Skillshare, Other, edX",More live sessions
25-34,Female,Doctorate,1000-2000,Other,Senegal,East Richardberg,Single,Yes,No,Smartphone,Excellent,4-6,Early morning,Blended,2,Facebook,Sometimes,Pop-up,Yes,Appealing,"Peer recommendation, Parental suggestion, Career growth, Hobby learning","Earn certifications, Other, Switch careers, Pass exams, Networking","Science, Technology, Business, Other, Humanities","Certificates, Peer interaction, Live classes, Quizzes, Offline access, Gamification","Flexibility, Content quality, Customer support, Price, App design","Boring content, Technical issues, Lack of motivation, Time management, Cost, Poor internet",4,6-10,Yes,Trust in brand,No,Monthly subscription,20-50,"Not enough content, Privacy concerns, Prefer free content, Price",3,Yes,"Other, Leaderboards, Discussion boards, Notes/highlighting","Khan Academy, Unacademy, edX, Byju’s",More affordable
25-34,Male,Undergraduate,2000-5000,Student,Mongolia,Jeffreystad,Single,Yes,No,Laptop/PC,Good,>6,Evening,Self-paced,3,Google Search,Sometimes,Influencer post,Yes,Very unappealing,"Peer recommendation, Academic help, Career growth, Exam preparation","Personal enrichment, Earn certifications, Other, Switch careers, Start a business","Business, Other, Technology, Humanities, Exam prep","Quizzes, Offline access, Certificates, Recorded videos, Personalized content","Flexibility, Price, Other, Certification, App design","Distractions, Other, Time management, Cost, Poor internet",5,6-10,No,Lack of interest,No,Free only,20-50,"Privacy concerns, Complicated signup, No payment method, Price, Lack of reviews, Not enough content",4,Yes,"Progress tracking, Downloadable resources, Other, Community forums","Byju’s, Unacademy, Skillshare, Other, Coursera, Khan Academy",Improved interaction
